Origin,Destination,TemperatureC,WindSpeedKph,ScheduledDepartureHour,DelayMinutes
MAA,HYD,31.7,14.8,18,2
HYD,MAA,33.9,3.1,7,0
BLR,BOM,23.6,4.7,21,21
BOM,BLR,31.2,3.5,1,28
BOM,DEL,20.0,6.1,12,6
HYD,MAA,28.8,17.2,3,0
HYD,MAA,22.1,16.1,5,8
MAA,BLR,26.8,23.6,13,3
BLR,BOM,20.0,17.0,20,15
DEL,BOM,28.5,19.9,16,48
HYD,BLR,34.6,20.8,11,15
MAA,DEL,25.1,11.9,7,0
BOM,HYD,32.7,15.8,5,40
HYD,DEL,24.8,23.8,22,0
HYD,BLR,31.7,4.7,13,0
BOM,MAA,34.1,8.1,17,11
BOM,DEL,26.4,5.2,21,0
BLR,DEL,32.3,9.1,7,14
BOM,HYD,34.9,4.4,16,0
BOM,HYD,20.2,1.3,22,17
BOM,MAA,21.3,3.6,14,31
HYD,BLR,26.2,15.6,10,4
HYD,BOM,33.5,22.6,0,3
BLR,HYD,30.1,0.3,8,2
BLR,DEL,27.9,5.1,15,38
DEL,BLR,29.6,22.9,6,0
HYD,MAA,30.4,23.9,16,0
DEL,HYD,31.2,0.8,21,3
BOM,BLR,26.8,18.2,8,17
HYD,DEL,27.2,17.2,19,4
DEL,MAA,31.4,0.6,23,30
HYD,BLR,24.3,12.1,19,65
DEL,MAA,27.0,16.3,23,0
BOM,HYD,32.1,2.2,22,0
BOM,HYD,30.1,1.9,0,0
MAA,DEL,34.8,8.4,8,13
DEL,HYD,25.5,17.8,7,0
HYD,BOM,29.2,5.4,13,17
MAA,HYD,21.5,17.1,11,8
BOM,DEL,26.0,21.7,12,0
BLR,MAA,21.3,17.3,5,0
DEL,MAA,33.9,14.0,16,14
BOM,MAA,27.5,2.1,21,9
BLR,BOM,22.7,14.8,6,49
HYD,BLR,27.3,2.0,5,5
BOM,MAA,34.0,16.8,6,30
MAA,BLR,31.1,18.3,0,20
HYD,DEL,32.1,0.3,14,10
BOM,BLR,26.1,14.4,18,0
MAA,DEL,33.4,1.3,1,0
BLR,HYD,33.5,3.2,5,9
BOM,MAA,26.5,15.6,0,9
HYD,BLR,23.2,5.8,6,35
DEL,MAA,25.0,18.8,20,0
MAA,DEL,31.0,10.8,20,14
HYD,MAA,24.3,0.1,3,3
MAA,BOM,25.8,11.8,21,20
DEL,MAA,22.7,23.4,20,0
DEL,BLR,23.4,18.2,19,46
MAA,DEL,21.2,20.4,23,9
MAA,HYD,32.0,7.3,15,22
BOM,HYD,32.9,7.6,2,19
HYD,BOM,22.6,13.7,16,2
DEL,BLR,23.2,0.7,19,3
BOM,HYD,34.1,1.1,1,0
MAA,BLR,22.6,3.6,15,0
DEL,BOM,34.9,21.5,5,27
BOM,BLR,25.1,18.6,13,46
BOM,DEL,20.3,15.7,5,2
HYD,BOM,24.3,20.1,20,5
MAA,BOM,23.4,24.8,13,23
DEL,BLR,28.2,17.7,14,0
BLR,BOM,33.4,4.0,3,22
MAA,BLR,26.9,19.0,13,0
HYD,MAA,21.8,15.8,16,0
BOM,MAA,32.7,18.2,10,18
BLR,BOM,30.5,23.2,4,17
BOM,DEL,21.5,12.5,5,0
MAA,BOM,31.3,2.7,6,7
BOM,HYD,28.8,5.4,6,6
MAA,DEL,30.1,16.0,21,0
BLR,DEL,22.9,23.0,2,43
HYD,BOM,30.3,13.1,16,35
HYD,BLR,26.3,24.9,12,32
BLR,DEL,26.4,15.8,16,7
BOM,DEL,25.5,22.0,14,36
BLR,BOM,27.4,2.0,2,0
BLR,DEL,34.8,19.9,5,0
MAA,HYD,25.6,8.4,1,41
MAA,BLR,34.9,20.0,8,12
HYD,DEL,27.4,23.7,18,3
MAA,BOM,25.9,13.8,14,39
BOM,BLR,25.8,17.0,0,0
HYD,BOM,22.8,2.2,18,0
MAA,DEL,24.8,19.9,11,6
HYD,BLR,33.8,6.5,16,0
DEL,HYD,27.5,3.9,1,10
DEL,HYD,30.8,24.9,7,18
MAA,BLR,21.8,17.4,5,48
BLR,DEL,23.0,7.3,23,36
BLR,BOM,35.0,8.3,1,10
BOM,BLR,29.2,6.3,11,58
HYD,BOM,25.9,17.4,17,0
BLR,HYD,31.8,24.7,17,0
HYD,BOM,23.8,11.7,22,22
BOM,HYD,34.9,7.9,16,9
MAA,BOM,27.3,2.5,22,20
BOM,BLR,31.2,21.2,1,0
BLR,MAA,29.8,1.8,15,31
BLR,MAA,25.7,3.7,9,44
HYD,BLR,24.1,22.8,22,15
MAA,BLR,21.4,1.6,19,22
BOM,MAA,27.6,21.0,19,16
DEL,BOM,23.3,7.9,19,38
HYD,MAA,29.8,3.3,20,0
HYD,BLR,28.9,12.4,13,24
DEL,MAA,33.3,9.0,20,11
DEL,HYD,34.3,17.5,21,13
DEL,BLR,33.3,23.2,4,50
DEL,BOM,34.1,14.7,8,34
DEL,BLR,22.5,20.9,18,34
BOM,BLR,23.0,23.5,4,12
BLR,HYD,26.2,20.5,20,36
BOM,DEL,27.6,14.7,20,39
HYD,BOM,25.6,3.3,8,18
BLR,BOM,22.9,11.0,11,16
BOM,DEL,31.4,16.5,13,0
HYD,BLR,25.1,9.1,2,13
MAA,HYD,28.9,18.6,11,0
BLR,HYD,22.6,9.7,9,0
MAA,HYD,26.9,1.3,22,35
BLR,DEL,20.6,22.2,12,31
DEL,MAA,29.1,14.1,4,39
BOM,BLR,26.3,23.6,13,29
BLR,DEL,35.0,10.3,3,9
DEL,MAA,28.3,6.9,17,0
HYD,MAA,23.3,4.3,22,36
DEL,BOM,30.8,9.0,8,0
BOM,MAA,32.2,10.0,7,12
MAA,DEL,29.5,1.7,10,18
BOM,BLR,20.8,14.9,7,46
BOM,BLR,32.2,4.7,11,6
MAA,HYD,20.9,15.0,23,22
DEL,MAA,34.4,13.4,5,39
HYD,DEL,20.8,0.3,6,24
DEL,HYD,23.1,15.0,18,27
DEL,BOM,26.2,4.1,1,32
BOM,MAA,33.6,4.6,20,0
DEL,BOM,25.8,13.0,8,33
MAA,DEL,20.0,7.8,15,61
BOM,DEL,28.4,22.9,7,6
MAA,DEL,33.4,2.7,9,0
BLR,BOM,20.7,3.3,7,31
MAA,HYD,33.5,12.3,22,10
DEL,BOM,26.4,17.2,7,9
DEL,BOM,25.4,23.5,10,7
BLR,BOM,20.8,3.1,17,0
BOM,BLR,31.1,16.5,16,4
BLR,BOM,34.7,12.9,20,7
HYD,DEL,33.9,22.5,16,22
BOM,HYD,32.6,16.5,12,0
MAA,DEL,20.9,1.4,3,22
BLR,DEL,33.6,24.8,15,0
MAA,BOM,21.2,7.6,8,0
BOM,HYD,27.7,18.3,11,28
BOM,HYD,29.5,12.7,10,27
BLR,MAA,32.2,20.0,17,12
BOM,MAA,28.0,22.1,6,0
HYD,DEL,32.8,17.3,0,35
DEL,MAA,30.5,2.8,10,37
BLR,BOM,24.9,6.3,6,34
HYD,MAA,31.9,23.9,10,33
DEL,MAA,21.9,20.9,1,27
HYD,DEL,22.2,19.8,4,19
BLR,BOM,30.0,4.4,4,0
HYD,MAA,22.2,5.7,21,7
DEL,MAA,21.9,13.0,5,27
MAA,BOM,27.2,1.9,11,0
BLR,BOM,20.7,4.0,14,0
BOM,DEL,26.7,20.1,5,13
DEL,HYD,31.7,19.1,7,16
MAA,BLR,24.2,12.0,21,9
MAA,DEL,20.1,6.7,21,22
BLR,HYD,34.9,2.0,6,0
BLR,DEL,34.8,20.9,22,21
BLR,HYD,26.2,16.1,7,6
BLR,BOM,24.0,13.3,1,0
BOM,DEL,33.2,19.0,2,0
MAA,HYD,24.1,20.3,3,17
BOM,DEL,35.0,6.9,23,29
BOM,DEL,29.0,15.4,11,22
BLR,MAA,34.3,5.5,20,0
BLR,BOM,21.9,11.4,5,14
BOM,DEL,27.3,13.8,1,24
DEL,BOM,25.6,9.2,1,18
BLR,BOM,33.0,7.5,15,0
HYD,BLR,20.8,8.6,18,8
BOM,BLR,30.0,14.7,13,32
BOM,HYD,27.8,13.4,9,61
BLR,BOM,31.5,4.5,5,26
DEL,MAA,30.1,22.4,1,7
BLR,HYD,29.5,12.0,15,0
BOM,DEL,23.3,11.4,21,10
BLR,BOM,28.6,3.8,15,0
MAA,HYD,21.1,3.7,2,0
DEL,BOM,32.2,7.7,18,13
BOM,DEL,31.9,12.4,4,28
DEL,BOM,21.1,22.0,12,18
HYD,MAA,33.8,3.0,6,20
HYD,DEL,30.4,17.7,9,0
DEL,HYD,29.1,16.4,1,0
BLR,HYD,27.6,11.6,22,29
BLR,HYD,28.3,3.5,8,13
HYD,MAA,32.8,7.1,3,3
BOM,MAA,23.8,3.9,16,12
MAA,HYD,27.5,23.1,9,35
BLR,BOM,33.3,12.3,11,43
BLR,BOM,32.9,3.5,16,24
BLR,MAA,31.4,15.7,15,22
BOM,HYD,33.8,12.2,9,1
BOM,HYD,32.5,0.8,5,11
DEL,MAA,32.4,12.9,22,18
MAA,BLR,29.0,10.1,19,47
MAA,BLR,31.9,5.3,4,28
MAA,HYD,22.6,3.8,18,15
MAA,HYD,25.1,15.8,22,27
HYD,MAA,22.4,20.8,2,0
BOM,HYD,20.0,21.1,0,9
MAA,BLR,29.9,20.4,5,16
BLR,BOM,28.8,24.7,21,24
BLR,BOM,21.1,6.9,15,74
DEL,MAA,25.0,2.6,19,0
BOM,BLR,20.6,0.0,17,22
DEL,BOM,21.2,24.2,20,1
BOM,MAA,26.2,16.0,16,28
DEL,BLR,27.5,17.8,3,0
BOM,MAA,20.4,14.3,20,41
DEL,BLR,25.0,2.7,20,21
MAA,HYD,34.6,17.6,12,0
MAA,DEL,22.2,10.4,9,0
DEL,BLR,29.4,2.0,5,48
HYD,BLR,20.9,6.5,10,35
HYD,BLR,31.6,18.7,9,13
BOM,HYD,22.5,11.4,0,7
HYD,DEL,30.1,5.9,18,8
BOM,BLR,22.5,15.3,11,22
HYD,BOM,24.5,2.6,12,0
BLR,MAA,30.3,1.4,12,0
MAA,BLR,30.5,10.2,10,10
HYD,DEL,30.2,22.1,17,25
DEL,BLR,21.9,2.5,7,34
DEL,BLR,26.8,17.1,2,15
DEL,BLR,21.8,1.1,4,8
DEL,BLR,26.9,1.5,14,5
BLR,MAA,27.4,0.3,0,38
HYD,BLR,31.2,7.9,7,6
BOM,MAA,24.9,10.6,11,32
BOM,HYD,27.4,23.2,4,11
BLR,MAA,21.3,11.2,16,6
MAA,BLR,26.7,7.0,20,0
MAA,BOM,33.6,5.5,21,2
DEL,BLR,31.0,13.6,11,16
MAA,DEL,31.0,2.9,17,17
DEL,BLR,32.8,6.1,19,0
MAA,BOM,31.7,22.8,19,27
HYD,BOM,29.7,6.9,6,7
MAA,BLR,21.0,13.7,10,54
BLR,BOM,20.4,4.9,20,22
DEL,MAA,28.6,22.7,9,0
MAA,BLR,33.4,16.6,5,33
BLR,BOM,34.3,12.0,21,34
MAA,DEL,26.0,18.1,4,32
MAA,DEL,33.0,6.4,13,2
HYD,MAA,29.9,21.8,21,17
BLR,MAA,20.6,21.2,4,0
HYD,MAA,20.5,5.1,11,8
MAA,HYD,28.7,3.1,4,10
DEL,MAA,24.3,13.2,17,28
DEL,BOM,27.4,13.8,12,11
MAA,HYD,27.4,5.5,17,0
HYD,BOM,30.3,18.4,15,10
MAA,HYD,30.0,0.1,16,25
MAA,DEL,33.9,19.8,11,8
HYD,DEL,33.2,15.2,4,0
HYD,BLR,33.5,15.3,8,2
BOM,BLR,33.3,7.3,2,29
MAA,BOM,24.4,17.7,4,25
BOM,DEL,31.2,22.2,8,3
MAA,BOM,28.4,12.9,16,32
BOM,HYD,29.4,22.4,1,38
MAA,BOM,31.1,14.6,0,19
BLR,DEL,31.1,2.1,22,31
DEL,BOM,24.3,0.1,4,18
DEL,HYD,24.6,10.2,18,9
DEL,HYD,33.0,5.6,3,32
MAA,BLR,28.1,23.7,2,9
DEL,HYD,34.0,3.8,21,30
BLR,BOM,33.8,14.9,21,0
BLR,HYD,27.3,4.7,21,33
HYD,BOM,28.4,9.7,13,62
MAA,BOM,26.3,20.0,18,17
BLR,DEL,26.9,15.1,8,4
MAA,BOM,21.4,2.1,4,0
BOM,HYD,29.8,5.0,2,22
BOM,DEL,21.1,10.3,11,15
BLR,HYD,30.0,10.7,1,38
MAA,HYD,25.0,16.5,9,14
DEL,BLR,28.9,25.0,14,11
HYD,MAA,28.6,11.8,16,31
DEL,BLR,29.8,22.4,22,0
BLR,BOM,26.4,2.5,6,29
BOM,BLR,25.9,6.1,13,41
HYD,MAA,22.8,1.0,23,17
DEL,BOM,30.9,11.5,15,6
DEL,BLR,26.9,21.5,23,42
HYD,DEL,25.4,6.3,11,13
BLR,HYD,28.7,14.4,1,12
BLR,MAA,28.6,2.0,5,0
DEL,MAA,20.6,9.3,15,17
DEL,BLR,22.3,18.5,19,47
HYD,MAA,31.7,9.0,6,0
BOM,DEL,23.9,24.5,9,12
BLR,MAA,30.7,22.8,16,14
HYD,BOM,28.9,13.9,8,9
HYD,MAA,34.1,3.5,17,54
MAA,DEL,23.1,5.9,9,0
MAA,DEL,30.5,24.2,14,66
MAA,HYD,33.8,11.4,17,11
DEL,BOM,23.7,4.4,14,0
DEL,BLR,24.2,17.0,6,10
MAA,BOM,29.7,12.5,19,9
HYD,MAA,28.8,20.1,4,8
DEL,BOM,22.8,1.3,6,0
DEL,BOM,25.6,8.5,1,59
DEL,BOM,25.8,1.1,2,1
BLR,MAA,28.8,20.2,23,10
BLR,HYD,26.5,9.5,21,14
BLR,MAA,28.8,15.5,12,22
BLR,BOM,25.4,7.0,13,6
MAA,BOM,25.5,19.7,18,16
MAA,BLR,27.4,3.5,8,0
HYD,DEL,25.9,15.4,2,7
DEL,MAA,27.6,11.9,17,33
HYD,BOM,33.0,20.7,19,27
DEL,MAA,27.1,15.7,4,0
BOM,MAA,21.9,24.2,4,16
MAA,DEL,20.3,13.7,4,23
DEL,HYD,33.2,14.1,9,16
BOM,DEL,25.3,7.6,18,38
BLR,BOM,29.1,23.3,0,28
HYD,MAA,34.2,20.9,5,0
DEL,MAA,30.1,6.5,9,2
BLR,MAA,30.3,19.7,7,11
MAA,BLR,34.1,4.9,1,36
MAA,BLR,23.3,13.8,8,31
MAA,BOM,26.2,23.9,0,2
BOM,HYD,34.1,4.3,9,30
DEL,MAA,24.5,18.6,23,0
BLR,DEL,25.4,6.9,4,42
DEL,MAA,28.8,19.4,22,2
MAA,BOM,34.9,17.5,2,62
MAA,BLR,32.8,22.4,21,0
HYD,DEL,26.9,24.5,17,34
BOM,DEL,34.5,9.8,11,18
DEL,HYD,26.9,4.6,9,0
BLR,MAA,22.1,14.5,19,10
DEL,BOM,31.1,0.2,8,0
MAA,BLR,27.7,23.8,22,10
HYD,BLR,25.9,5.5,22,22
HYD,DEL,26.3,22.9,10,27
MAA,HYD,34.1,5.3,18,4
BOM,MAA,21.6,24.4,9,0
BLR,HYD,29.5,22.7,0,19
MAA,DEL,33.7,14.9,18,0
BOM,HYD,25.8,16.2,23,30
MAA,BOM,34.5,1.2,23,34
BLR,MAA,25.2,23.5,4,13
HYD,BLR,33.7,2.9,10,12
MAA,BOM,34.8,14.8,1,6
HYD,DEL,28.2,9.2,14,10
MAA,BLR,29.2,0.8,8,18
BLR,MAA,24.7,1.9,15,7
DEL,BOM,23.2,12.6,13,15
HYD,MAA,26.7,5.6,13,0
HYD,DEL,21.5,22.3,22,0
BLR,HYD,30.9,11.8,7,0
MAA,DEL,26.4,12.2,20,0
BLR,MAA,20.8,1.4,13,21
DEL,BOM,26.2,21.4,12,9
BLR,BOM,24.4,19.7,19,5
DEL,HYD,29.4,19.3,5,17
BOM,BLR,25.0,24.8,13,61
HYD,MAA,22.8,11.6,2,23
HYD,MAA,31.4,14.3,6,62
BLR,HYD,20.4,17.8,4,1
BLR,HYD,32.9,18.6,10,47
MAA,BLR,30.6,4.8,13,14
DEL,HYD,26.7,9.0,5,0
BLR,DEL,27.5,19.6,17,11
BLR,MAA,27.9,17.8,1,0
BLR,HYD,20.7,15.4,3,0
HYD,BOM,32.7,12.0,9,0
BLR,DEL,30.0,6.8,15,0
HYD,BLR,32.5,13.0,11,6
BLR,DEL,22.2,21.1,19,9
HYD,BLR,32.4,20.3,1,24
BLR,MAA,21.0,4.4,5,29
DEL,BLR,23.7,20.7,12,3
HYD,BLR,28.5,9.6,5,30
HYD,BLR,20.6,20.7,1,53
HYD,BOM,28.5,20.5,10,0
BOM,BLR,25.0,5.2,20,26
MAA,HYD,23.1,1.8,11,50
HYD,DEL,32.6,12.2,8,4
HYD,BOM,34.9,11.7,14,61
BLR,HYD,21.0,24.0,19,8
MAA,BLR,31.4,4.4,2,0
MAA,BOM,25.3,1.4,3,22
DEL,BLR,32.5,19.7,6,1
BOM,DEL,30.8,1.7,13,12
DEL,HYD,21.4,19.9,22,0
HYD,BLR,29.8,0.9,6,16
HYD,BLR,25.2,2.5,7,39
HYD,BLR,25.1,13.6,7,26
HYD,BLR,34.0,22.4,1,7
DEL,HYD,29.3,3.2,22,17
DEL,MAA,32.3,0.3,3,0
MAA,HYD,24.3,8.6,16,9
HYD,MAA,21.5,9.9,20,7
MAA,HYD,28.9,1.6,18,35
BLR,DEL,33.4,23.6,18,24
BLR,HYD,24.4,21.8,13,31
MAA,HYD,33.9,12.9,14,6
HYD,BLR,21.0,0.3,9,38
BOM,BLR,33.2,0.7,6,0
BOM,HYD,30.9,11.5,16,19
HYD,BOM,21.3,14.2,12,25
HYD,DEL,34.4,18.2,20,17
BOM,BLR,22.5,14.3,19,31
DEL,BLR,26.8,4.1,2,0
BLR,BOM,22.4,4.2,17,28
HYD,BOM,24.7,15.2,4,3
BOM,DEL,34.6,3.7,16,0
MAA,DEL,30.8,5.3,13,3
HYD,BOM,21.3,24.5,15,6
MAA,BLR,28.2,14.2,18,0
BOM,BLR,30.8,16.7,5,8
BOM,DEL,22.8,24.0,3,5
BOM,BLR,21.5,18.6,14,0
BOM,BLR,26.2,24.8,16,46
DEL,HYD,34.6,10.1,20,20
BLR,DEL,26.6,9.5,2,0
MAA,BOM,31.9,19.2,4,29
BLR,DEL,32.4,14.5,2,28
HYD,BOM,33.7,7.2,20,33
BLR,HYD,33.1,20.5,13,0
MAA,BOM,33.5,0.6,15,47
BOM,HYD,21.0,12.5,23,12
BLR,MAA,21.9,13.7,5,11
DEL,BLR,32.5,17.2,10,0
BLR,MAA,31.0,11.0,7,46
BOM,MAA,29.5,8.7,22,16
HYD,DEL,33.8,16.0,18,26
DEL,BOM,32.6,7.3,11,4
BLR,DEL,24.5,1.5,17,0
BOM,HYD,22.1,24.4,15,41
MAA,DEL,34.7,22.1,12,0
HYD,MAA,21.0,9.8,16,28
DEL,BOM,26.9,24.5,8,22
DEL,BOM,28.2,8.3,11,17
HYD,BOM,22.4,4.9,12,22
DEL,BOM,20.8,0.4,12,0
BOM,MAA,32.1,20.1,23,0
BOM,BLR,25.3,3.9,21,22
MAA,BOM,21.9,17.2,21,22
MAA,DEL,34.4,10.6,15,0
BLR,DEL,26.6,19.4,0,41
BOM,BLR,26.8,17.5,8,18
BOM,DEL,27.1,3.4,11,24
DEL,HYD,27.5,8.9,14,21
DEL,BLR,31.2,0.5,1,26
BLR,BOM,31.4,23.6,2,18
BLR,DEL,28.2,19.1,8,9
BLR,HYD,22.9,10.5,8,24
HYD,BOM,27.4,1.5,22,45
HYD,MAA,33.6,19.8,10,42
DEL,BLR,25.3,9.1,4,28
DEL,BOM,30.4,9.4,7,0
MAA,HYD,34.5,9.7,4,0
BLR,MAA,23.4,9.4,0,6
BOM,HYD,28.8,6.1,21,17
HYD,MAA,25.0,18.4,17,3
DEL,MAA,27.9,5.0,1,27
BLR,MAA,25.4,3.4,21,13
BOM,BLR,33.8,16.9,5,37
DEL,BOM,25.4,3.0,5,33
DEL,BLR,26.0,21.7,6,14
BLR,DEL,33.8,17.7,16,10
BOM,DEL,29.3,22.0,22,41
BOM,MAA,28.6,1.2,3,38
HYD,BLR,21.3,17.2,9,3
DEL,BLR,33.2,16.0,11,0
HYD,MAA,28.6,6.7,14,30
HYD,BOM,25.0,7.3,9,44
BOM,DEL,30.1,23.3,6,14
HYD,BLR,21.6,22.5,8,29
BLR,DEL,26.6,18.2,3,26
MAA,BOM,27.2,21.8,11,0
BOM,DEL,22.1,6.7,15,0
BOM,MAA,34.4,18.3,20,40
BLR,MAA,31.1,12.1,17,22
BLR,DEL,29.6,16.5,15,0
BOM,BLR,32.4,5.9,20,24
BOM,MAA,24.5,1.4,9,0
DEL,MAA,28.9,16.9,11,16
DEL,BLR,27.5,2.3,16,43
BOM,HYD,20.5,13.1,21,0
MAA,BLR,30.5,6.5,5,54
BLR,MAA,24.7,14.6,15,0
HYD,BOM,22.7,20.6,7,18
HYD,MAA,33.6,8.4,7,17
MAA,DEL,23.9,20.5,12,15
BOM,DEL,30.6,12.7,12,0
HYD,BLR,29.8,6.9,4,0
BOM,MAA,31.4,19.8,18,28
HYD,BOM,29.3,16.6,10,19
DEL,MAA,26.6,23.9,18,16
DEL,BLR,21.5,5.7,15,0
HYD,BLR,24.7,14.8,1,0
MAA,BLR,22.0,12.0,7,0
MAA,BLR,27.9,10.0,22,8
HYD,BLR,31.4,2.2,16,11
BOM,MAA,22.2,1.3,16,18
HYD,BLR,20.6,11.8,20,37
HYD,BLR,26.9,1.2,11,47
BLR,MAA,24.3,22.8,23,9
HYD,BOM,34.6,20.6,16,8
HYD,BOM,22.4,20.8,12,7
BOM,BLR,28.2,19.0,20,0
BOM,BLR,34.2,20.7,14,36
DEL,BLR,26.6,22.6,9,42
BOM,DEL,27.7,23.0,19,13
HYD,MAA,27.9,20.7,8,27
BOM,HYD,23.7,5.9,14,0
BLR,HYD,29.1,16.3,23,0
BLR,HYD,29.0,15.7,16,41
BOM,BLR,21.8,12.2,12,4
HYD,DEL,21.6,1.3,19,38
MAA,BOM,34.0,10.6,5,35
HYD,BOM,29.1,15.1,6,0
DEL,BOM,33.1,18.2,9,14
DEL,BOM,26.7,14.4,23,3
BOM,MAA,32.1,22.6,16,7
DEL,HYD,21.4,4.1,5,0
BLR,MAA,31.2,9.0,16,0
BOM,DEL,22.2,14.3,20,27
HYD,MAA,28.6,20.1,20,47
HYD,BLR,23.2,16.7,13,0
BOM,BLR,26.2,6.1,1,68
HYD,BOM,31.1,15.1,10,0
DEL,HYD,26.8,13.3,23,48
HYD,MAA,27.7,7.4,15,0
DEL,BLR,24.8,17.0,11,19
BLR,DEL,29.9,10.0,9,42
HYD,BLR,33.7,7.2,6,31
HYD,BOM,33.3,16.8,20,0
MAA,BLR,29.8,24.1,12,0
DEL,BOM,27.8,3.1,16,26
MAA,HYD,34.3,13.1,20,0
BOM,HYD,22.3,16.6,23,12
DEL,MAA,25.2,8.9,11,3
DEL,BLR,25.2,23.7,5,0
BOM,HYD,32.5,7.7,1,0
BLR,DEL,32.3,15.4,9,66
BLR,DEL,29.8,11.0,15,10
BLR,DEL,33.5,12.9,19,18
DEL,MAA,30.7,0.5,1,16
DEL,BLR,24.0,13.2,0,36
BLR,BOM,34.3,9.6,2,21
DEL,BLR,20.6,2.4,2,23
MAA,BLR,24.8,22.5,3,6
DEL,BLR,26.7,10.8,15,50
BOM,BLR,25.1,0.1,15,14
DEL,MAA,33.0,18.5,22,0
HYD,BOM,27.4,6.8,5,18
MAA,BLR,28.7,11.5,3,24
BOM,MAA,31.6,7.3,14,25
BLR,DEL,32.8,19.8,17,0
MAA,BLR,34.0,24.9,11,8
BLR,HYD,20.3,24.7,13,21
BLR,MAA,31.9,24.1,13,0
MAA,BOM,29.9,0.7,19,36
BOM,BLR,29.1,13.1,3,10
BLR,MAA,34.4,7.1,9,27
BOM,BLR,27.8,13.0,14,14
BOM,DEL,22.4,13.6,17,22
MAA,HYD,34.4,19.1,8,0
BOM,HYD,20.9,2.0,9,55
HYD,BOM,34.5,3.9,23,24
BOM,MAA,30.7,13.2,0,0
MAA,BLR,30.1,16.2,16,0
MAA,BLR,34.8,7.3,21,21
BLR,MAA,30.9,11.7,17,27
BLR,HYD,23.8,6.5,22,24
BLR,DEL,26.2,10.6,15,17
HYD,DEL,21.4,12.3,6,21
MAA,HYD,27.1,14.7,18,35
BOM,MAA,26.1,8.6,16,42
BOM,DEL,32.9,20.3,16,38
MAA,HYD,27.9,22.0,9,15
BLR,BOM,25.7,18.9,23,33
BOM,BLR,29.8,8.8,4,14
DEL,BLR,31.8,17.0,5,41
DEL,HYD,20.2,6.5,16,0
BLR,DEL,24.6,24.3,11,1
BLR,HYD,29.6,6.2,16,16
MAA,BOM,23.6,20.0,16,0
DEL,MAA,24.7,3.4,12,42
BOM,DEL,29.4,8.0,22,24
MAA,DEL,30.8,0.6,12,8
BLR,DEL,24.2,9.7,7,53
BLR,DEL,22.2,18.2,23,0
MAA,DEL,21.7,11.1,0,18
BLR,DEL,31.7,6.9,15,17
HYD,BOM,23.4,8.4,8,6
BOM,BLR,28.7,23.2,14,4
BOM,BLR,21.4,9.4,7,24
HYD,BLR,31.4,14.6,15,0
HYD,DEL,33.2,23.1,12,47
